id,postal,crowd
1,544965,13.80
2,467352,3.45
3,678295,39.68
4,538776,13.03
5,129880,19.55
6,119963,6.90
7,237994,10.35
8,556083,6.90
9,048980,3.45
10,556694,1.15
11,238872,18.40
12,159682,50.00
13,689687,28.75
14,379131,5.75
15,519498,25.30
16,560629,14.95
17,649882,10.35
18,650153,11.50
19,670260,41.40
20,270043,4.60
21,757632,2.30
22,528833,12.08
23,797650,48.30
24,678278,23.00
25,609646,6.90
26,640501,9.20
27,730676,14.38
28,400301,3.45
29,640960,14.95
30,358361,4.60
31,550254,6.90
32,521201,49.45
33,529684,49.45
34,082001,27.60
35,310107,0.00
36,730303,14.95
37,680624,27.03
38,760926,4.60
39,760290,6.90
40,677738,21.85
41,544583,31.05
42,618495,5.75
43,529705,28.75
44,569734,7.48
45,319194,34.50
46,327737,50.00
47,609958,4.03
