id,postal,crowd
1,544965,4.22
2,467352,36.23
3,678295,1.15
4,538776,17.25
5,129880,8.63
6,119963,2.30
7,237994,5.75
8,556083,19.55
9,048980,6.90
10,556694,0.00
11,238872,0.00
12,159682,0.58
13,689687,16.48
14,379131,14.57
15,519498,6.90
16,560629,11.50
17,649882,8.05
18,650153,8.05
19,670260,25.30
20,270043,11.50
21,757632,19.55
22,528833,16.10
23,797650,10.35
24,678278,6.90
25,609646,5.75
26,640501,20.70
27,730676,22.43
28,400301,14.95
29,640960,10.35
30,358361,31.05
31,550254,16.10
32,521201,17.25
33,529684,36.80
34,082001,18.40
35,310107,3.45
36,730303,34.50
37,680624,12.65
38,760926,51.75
39,760290,49.45
40,677738,8.05
41,544583,9.78
42,618495,4.60
43,529705,29.33
44,569734,14.95
45,319194,17.25
46,327737,12.65
47,609958,4.60
