id,postal,crowd
1,544965,29.13
2,467352,50.00
3,678295,50.00
4,538776,44.47
5,129880,50.00
6,119963,12.65
7,237994,10.35
8,556083,50.00
9,048980,50.00
10,556694,14.95
11,238872,12.65
12,159682,50.00
13,689687,27.98
14,379131,50.00
15,519498,50.00
16,560629,41.40
17,649882,50.00
18,650153,50.00
19,670260,50.00
20,270043,50.00
21,757632,50.00
22,528833,50.00
23,797650,29.90
24,678278,10.35
25,609646,50.00
26,640501,46.00
27,730676,50.00
28,400301,34.50
29,640960,50.00
30,358361,46.00
31,550254,33.35
32,521201,23.00
33,529684,50.00
34,082001,40.25
35,310107,17.25
36,730303,50.00
37,680624,50.00
38,760926,57.50
39,760290,54.05
40,677738,50.00
41,544583,50.00
42,618495,50.00
43,529705,14.38
44,569734,25.88
45,319194,50.00
46,327737,50.60
47,609958,20.70
