id,postal,crowd
1,544965,14.57
2,467352,56.35
3,678295,28.75
4,538776,61.33
5,129880,28.75
6,119963,14.95
7,237994,17.25
8,556083,31.05
9,048980,14.95
10,556694,2.30
11,238872,13.80
12,159682,47.15
13,689687,37.18
14,379131,26.83
15,519498,19.93
16,560629,43.70
17,649882,32.20
18,650153,31.05
19,670260,27.60
20,270043,44.85
21,757632,27.60
22,528833,34.50
23,797650,29.90
24,678278,20.70
25,609646,34.50
26,640501,34.50
27,730676,40.83
28,400301,25.30
29,640960,28.75
30,358361,44.85
31,550254,43.70
32,521201,46.00
33,529684,33.35
34,082001,48.30
35,310107,11.50
36,730303,51.75
37,680624,31.63
38,760926,87.40
39,760290,67.85
40,677738,40.25
41,544583,63.25
42,618495,21.85
43,529705,31.63
44,569734,37.38
45,319194,32.78
46,327737,27.60
47,609958,14.38
