id,postal,crowd
1,544965,26.45
2,467352,8.63
3,678295,2.30
4,538776,26.83
5,129880,16.10
6,119963,13.80
7,237994,0.00
8,556083,9.20
9,048980,3.45
10,556694,5.75
11,238872,0.00
12,159682,21.85
13,689687,19.93
14,379131,1.92
15,519498,7.67
16,560629,9.20
17,649882,29.90
18,650153,46.00
19,670260,0.00
20,270043,0.00
21,757632,6.90
22,528833,8.05
23,797650,66.70
24,678278,0.00
25,609646,11.50
26,640501,21.85
27,730676,10.35
28,400301,10.35
29,640960,33.35
30,358361,0.00
31,550254,5.75
32,521201,6.90
33,529684,1.15
34,082001,36.80
35,310107,3.45
36,730303,0.00
37,680624,18.40
38,760926,20.70
39,760290,1.15
40,677738,0.00
41,544583,26.45
42,618495,22.43
43,529705,0.58
44,569734,23.00
45,319194,0.00
46,327737,0.58
47,609958,8.05
