id,postal,crowd
1,544965,26.07
2,467352,50.00
3,678295,21.28
4,538776,42.55
5,129880,46.00
6,119963,50.00
7,237994,12.65
8,556083,17.25
9,048980,3.45
10,556694,17.25
11,238872,17.25
12,159682,21.28
13,689687,21.08
14,379131,20.70
15,519498,24.53
16,560629,50.00
17,649882,28.75
18,650153,34.50
19,670260,50.00
20,270043,50.00
21,757632,32.20
22,528833,12.65
23,797650,50.00
24,678278,50.00
25,609646,20.70
26,640501,50.00
27,730676,50.00
28,400301,50.00
29,640960,25.30
30,358361,50.00
31,550254,29.90
32,521201,29.90
33,529684,58.65
34,082001,50.00
35,310107,29.90
36,730303,29.90
37,680624,18.40
38,760926,50.00
39,760290,40.25
40,677738,33.35
41,544583,21.28
42,618495,24.73
43,529705,19.55
44,569734,50.00
45,319194,50.00
46,327737,24.73
47,609958,18.98
