id,postal,crowd
1,544965,5.75
2,467352,17.83
3,678295,1.73
4,538776,3.45
5,129880,4.60
6,119963,3.45
7,237994,4.60
8,556083,21.85
9,048980,1.15
10,556694,10.35
11,238872,3.45
12,159682,2.88
13,689687,2.30
14,379131,8.82
15,519498,2.68
16,560629,12.65
17,649882,6.90
18,650153,8.05
19,670260,11.50
20,270043,0.00
21,757632,14.95
22,528833,16.68
23,797650,0.00
24,678278,12.65
25,609646,8.05
26,640501,10.35
27,730676,14.95
28,400301,17.25
29,640960,11.50
30,358361,24.15
31,550254,29.90
32,521201,13.80
33,529684,19.55
34,082001,17.25
35,310107,1.15
36,730303,10.35
37,680624,6.90
38,760926,26.45
39,760290,34.50
40,677738,5.75
41,544583,1.15
42,618495,8.63
43,529705,9.20
44,569734,1.73
45,319194,0.58
46,327737,2.30
47,609958,1.73
