id,postal,crowd
1,544965,7.67
2,467352,2.30
3,678295,1.15
4,538776,27.98
5,129880,27.03
6,119963,8.05
7,237994,4.60
8,556083,21.85
9,048980,0.00
10,556694,4.60
11,238872,0.00
12,159682,17.25
13,689687,4.98
14,379131,1.92
15,519498,3.83
16,560629,46.00
17,649882,34.50
18,650153,20.70
19,670260,0.00
20,270043,34.50
21,757632,9.20
22,528833,2.88
23,797650,35.65
24,678278,0.00
25,609646,24.15
26,640501,32.20
27,730676,10.93
28,400301,1.15
29,640960,16.10
30,358361,4.60
31,550254,20.70
32,521201,4.60
33,529684,12.65
34,082001,11.50
35,310107,2.30
36,730303,13.80
37,680624,3.45
38,760926,41.40
39,760290,6.90
40,677738,3.45
41,544583,1.73
42,618495,28.18
43,529705,5.75
44,569734,27.60
45,319194,1.73
46,327737,0.58
47,609958,20.13
