id,postal,crowd
1,544965,22.23
2,467352,50.00
3,678295,20.13
4,538776,44.08
5,129880,25.88
6,119963,50.00
7,237994,50.00
8,556083,50.00
9,048980,50.00
10,556694,50.00
11,238872,5.75
12,159682,9.78
13,689687,28.75
14,379131,50.00
15,519498,50.00
16,560629,50.00
17,649882,31.05
18,650153,34.50
19,670260,50.00
20,270043,23.00
21,757632,50.00
22,528833,25.88
23,797650,50.00
24,678278,14.95
25,609646,25.30
26,640501,51.75
27,730676,50.00
28,400301,19.55
29,640960,17.25
30,358361,50.00
31,550254,40.25
32,521201,50.00
33,529684,25.30
34,082001,50.00
35,310107,5.75
36,730303,37.95
37,680624,50.00
38,760926,51.75
39,760290,50.00
40,677738,50.00
41,544583,50.00
42,618495,22.43
43,529705,30.48
44,569734,23.58
45,319194,50.00
46,327737,50.00
47,609958,50.00
