id,postal,crowd
1,544965,3.83
2,467352,17.25
3,678295,2.30
4,538776,4.22
5,129880,4.60
6,119963,50.00
7,237994,3.45
8,556083,17.25
9,048980,0.00
10,556694,6.90
11,238872,1.15
12,159682,11.50
13,689687,6.13
14,379131,8.05
15,519498,5.75
16,560629,17.25
17,649882,1.15
18,650153,11.50
19,670260,9.20
20,270043,50.00
21,757632,18.40
22,528833,17.25
23,797650,5.75
24,678278,14.95
25,609646,3.45
26,640501,9.20
27,730676,24.15
28,400301,50.00
29,640960,5.75
30,358361,14.95
31,550254,50.00
32,521201,19.55
33,529684,23.00
34,082001,11.50
35,310107,11.50
36,730303,18.40
37,680624,8.63
38,760926,35.65
39,760290,31.05
40,677738,8.05
41,544583,0.00
42,618495,6.33
43,529705,18.40
44,569734,1.15
45,319194,4.60
46,327737,6.90
47,609958,0.00
