id,postal,crowd
1,544965,17.63
2,467352,2.30
3,678295,11.50
4,538776,8.82
5,129880,2.88
6,119963,17.25
7,237994,14.95
8,556083,17.25
9,048980,23.00
10,556694,1.15
11,238872,26.45
12,159682,14.38
13,689687,32.20
14,379131,5.75
15,519498,17.25
16,560629,11.50
17,649882,8.05
18,650153,13.80
19,670260,0.00
20,270043,3.45
21,757632,3.45
22,528833,9.20
23,797650,54.05
24,678278,20.70
25,609646,18.40
26,640501,11.50
27,730676,14.38
28,400301,9.20
29,640960,31.05
30,358361,2.30
31,550254,9.20
32,521201,14.95
33,529684,14.95
34,082001,40.25
35,310107,0.00
36,730303,0.00
37,680624,22.43
38,760926,10.35
39,760290,0.00
40,677738,5.75
41,544583,36.80
42,618495,9.78
43,529705,4.03
44,569734,2.30
45,319194,2.30
46,327737,0.00
47,609958,3.45
