id,postal,crowd
1,544965,22.23
2,467352,63.25
3,678295,20.13
4,538776,44.08
5,129880,25.88
6,119963,12.65
7,237994,14.95
8,556083,19.55
9,048980,10.35
10,556694,17.25
11,238872,5.75
12,159682,9.78
13,689687,28.75
14,379131,15.33
15,519498,17.25
16,560629,20.70
17,649882,31.05
18,650153,34.50
19,670260,46.00
20,270043,23.00
21,757632,16.10
22,528833,25.88
23,797650,26.45
24,678278,14.95
25,609646,25.30
26,640501,51.75
27,730676,34.50
28,400301,19.55
29,640960,17.25
30,358361,28.75
31,550254,40.25
32,521201,17.25
33,529684,25.30
34,082001,17.25
35,310107,5.75
36,730303,37.95
37,680624,28.18
38,760926,51.75
39,760290,47.15
40,677738,23.00
41,544583,43.13
42,618495,22.43
43,529705,30.48
44,569734,23.58
45,319194,17.83
46,327737,27.60
47,609958,29.33
