id,postal,crowd
1,544965,4.98
2,467352,21.85
3,678295,2.88
4,538776,1.92
5,129880,10.35
6,119963,4.60
7,237994,0.00
8,556083,31.05
9,048980,11.50
10,556694,9.20
11,238872,8.05
12,159682,1.15
13,689687,3.07
14,379131,10.73
15,519498,1.15
16,560629,8.05
17,649882,8.05
18,650153,28.75
19,670260,4.60
20,270043,10.35
21,757632,2.30
22,528833,14.95
23,797650,9.20
24,678278,0.00
25,609646,9.20
26,640501,10.35
27,730676,19.55
28,400301,18.40
29,640960,2.30
30,358361,9.20
31,550254,36.80
32,521201,4.60
33,529684,20.70
34,082001,12.65
35,310107,12.65
36,730303,19.55
37,680624,8.63
38,760926,46.00
39,760290,34.50
40,677738,2.30
41,544583,2.30
42,618495,2.30
43,529705,16.10
44,569734,3.45
45,319194,6.90
46,327737,3.45
47,609958,4.60
