id,postal,crowd
1,544965,21.47
2,467352,6.90
3,678295,14.38
4,538776,18.02
5,129880,10.35
6,119963,20.70
7,237994,11.50
8,556083,9.20
9,048980,10.35
10,556694,1.15
11,238872,5.75
12,159682,17.25
13,689687,29.52
14,379131,1.92
15,519498,26.07
16,560629,14.95
17,649882,9.20
18,650153,69.00
19,670260,11.50
20,270043,3.45
21,757632,2.30
22,528833,5.75
23,797650,54.05
24,678278,50.00
25,609646,23.00
26,640501,11.50
27,730676,7.48
28,400301,5.75
29,640960,32.20
30,358361,0.00
31,550254,16.10
32,521201,35.65
33,529684,36.80
34,082001,37.95
35,310107,0.00
36,730303,1.15
37,680624,50.00
38,760926,5.75
39,760290,2.30
40,677738,6.90
41,544583,51.75
42,618495,12.65
43,529705,8.05
44,569734,6.90
45,319194,17.25
46,327737,8.05
47,609958,0.58
