id,postal,crowd
1,544965,23.00
2,467352,2.30
3,678295,1.15
4,538776,29.90
5,129880,20.70
6,119963,21.85
7,237994,0.00
8,556083,13.80
9,048980,0.00
10,556694,1.15
11,238872,0.00
12,159682,28.75
13,689687,23.77
14,379131,3.83
15,519498,8.43
16,560629,10.35
17,649882,29.90
18,650153,34.50
19,670260,50.00
20,270043,29.90
21,757632,4.60
22,528833,8.63
23,797650,67.85
24,678278,0.00
25,609646,13.80
26,640501,18.40
27,730676,13.23
28,400301,12.65
29,640960,28.75
30,358361,17.25
31,550254,11.50
32,521201,0.00
33,529684,0.00
34,082001,39.10
35,310107,0.00
36,730303,5.75
37,680624,50.00
38,760926,17.25
39,760290,20.70
40,677738,0.00
41,544583,46.00
42,618495,21.28
43,529705,0.00
44,569734,28.18
45,319194,3.45
46,327737,0.00
47,609958,8.63
