id,postal,crowd
1,544965,5.75
2,467352,50.00
3,678295,50.00
4,538776,14.57
5,129880,17.25
6,119963,50.00
7,237994,50.00
8,556083,50.00
9,048980,0.00
10,556694,50.00
11,238872,6.90
12,159682,50.00
13,689687,50.00
14,379131,14.57
15,519498,50.00
16,560629,50.00
17,649882,5.75
18,650153,50.00
19,670260,17.25
20,270043,50.00
21,757632,8.05
22,528833,17.25
23,797650,50.00
24,678278,50.00
25,609646,6.90
26,640501,50.00
27,730676,18.40
28,400301,50.00
29,640960,50.00
30,358361,14.95
31,550254,50.00
32,521201,11.50
33,529684,50.00
34,082001,50.00
35,310107,50.00
36,730303,50.00
37,680624,50.00
38,760926,48.30
39,760290,28.75
40,677738,2.30
41,544583,3.45
42,618495,50.00
43,529705,6.90
44,569734,18.40
45,319194,11.50
46,327737,0.00
47,609958,5.18
