id,postal,crowd
1,544965,21.47
2,467352,14.38
3,678295,1.73
4,538776,31.82
5,129880,16.68
6,119963,11.50
7,237994,6.90
8,556083,8.05
9,048980,8.05
10,556694,0.00
11,238872,0.00
12,159682,28.75
13,689687,32.97
14,379131,1.53
15,519498,9.58
16,560629,18.40
17,649882,29.90
18,650153,69.00
19,670260,1.15
20,270043,31.05
21,757632,4.60
22,528833,12.65
23,797650,57.50
24,678278,0.00
25,609646,8.05
26,640501,27.60
27,730676,14.95
28,400301,4.60
29,640960,41.40
30,358361,16.10
31,550254,16.10
32,521201,6.90
33,529684,5.75
34,082001,46.00
35,310107,0.00
36,730303,0.00
37,680624,10.93
38,760926,41.40
39,760290,12.65
40,677738,0.00
41,544583,57.50
42,618495,35.08
43,529705,9.20
44,569734,14.95
45,319194,3.45
46,327737,0.00
47,609958,20.13
