id,postal,crowd
1,544965,6.52
2,467352,16.68
3,678295,21.85
4,538776,5.37
5,129880,8.05
6,119963,3.45
7,237994,12.65
8,556083,3.45
9,048980,0.00
10,556694,1.15
11,238872,10.35
12,159682,2.88
13,689687,6.13
14,379131,4.60
15,519498,11.12
16,560629,8.05
17,649882,5.75
18,650153,20.70
19,670260,29.90
20,270043,0.00
21,757632,21.85
22,528833,17.83
23,797650,4.60
24,678278,9.20
25,609646,3.45
26,640501,3.45
27,730676,21.28
28,400301,0.00
29,640960,4.60
30,358361,34.50
31,550254,9.20
32,521201,29.90
33,529684,35.65
34,082001,18.40
35,310107,23.00
36,730303,34.50
37,680624,7.48
38,760926,0.00
39,760290,0.00
40,677738,35.65
41,544583,2.88
42,618495,1.15
43,529705,24.15
44,569734,1.73
45,319194,10.35
46,327737,23.00
47,609958,0.58
