id,postal,crowd
1,544965,27.60
2,467352,23.00
3,678295,18.98
4,538776,25.68
5,129880,40.25
6,119963,18.40
7,237994,9.20
8,556083,20.70
9,048980,1.15
10,556694,8.05
11,238872,4.60
12,159682,19.55
13,689687,15.33
14,379131,17.63
15,519498,26.83
16,560629,40.25
17,649882,28.75
18,650153,46.00
19,670260,26.45
20,270043,42.55
21,757632,19.55
22,528833,17.25
23,797650,21.85
24,678278,16.10
25,609646,17.25
26,640501,36.80
27,730676,32.78
28,400301,32.20
29,640960,34.50
30,358361,34.50
31,550254,31.05
32,521201,14.95
33,529684,40.25
34,082001,24.15
35,310107,11.50
36,730303,31.05
37,680624,20.70
38,760926,33.35
39,760290,46.00
40,677738,17.25
41,544583,37.38
42,618495,27.60
43,529705,17.25
44,569734,19.55
45,319194,5.18
46,327737,20.70
47,609958,22.43
