id,postal,crowd
1,544965,16.10
2,467352,32.78
3,678295,10.35
4,538776,34.50
5,129880,20.13
6,119963,11.50
7,237994,13.80
8,556083,10.35
9,048980,4.60
10,556694,8.05
11,238872,9.20
12,159682,20.13
13,689687,15.72
14,379131,22.62
15,519498,17.63
16,560629,41.40
17,649882,28.75
18,650153,23.00
19,670260,17.25
20,270043,21.85
21,757632,17.25
22,528833,21.85
23,797650,36.80
24,678278,9.20
25,609646,16.10
26,640501,50.00
27,730676,24.73
28,400301,40.25
29,640960,26.45
30,358361,28.75
31,550254,23.00
32,521201,17.25
33,529684,50.00
34,082001,20.70
35,310107,2.30
36,730303,27.60
37,680624,23.58
38,760926,57.50
39,760290,36.80
40,677738,35.65
41,544583,31.63
42,618495,20.70
43,529705,24.73
44,569734,23.00
45,319194,9.78
46,327737,16.10
47,609958,26.45
