id,postal,crowd
1,544965,7.67
2,467352,25.30
3,678295,7.48
4,538776,17.25
5,129880,28.75
6,119963,11.50
7,237994,8.05
8,556083,21.85
9,048980,17.25
10,556694,0.00
11,238872,13.80
12,159682,22.43
13,689687,14.18
14,379131,18.40
15,519498,10.35
16,560629,11.50
17,649882,17.25
18,650153,34.50
19,670260,9.20
20,270043,17.25
21,757632,4.60
22,528833,25.30
23,797650,21.85
24,678278,8.05
25,609646,20.70
26,640501,11.50
27,730676,26.45
28,400301,18.40
29,640960,17.25
30,358361,26.45
31,550254,9.20
32,521201,17.25
33,529684,43.70
34,082001,27.60
35,310107,20.70
36,730303,32.20
37,680624,9.20
38,760926,40.25
39,760290,34.50
40,677738,18.40
41,544583,6.33
42,618495,13.23
43,529705,21.85
44,569734,12.65
45,319194,20.70
46,327737,18.98
47,609958,10.93
