id,postal,crowd
1,544965,6.13
2,467352,6.90
3,678295,50.00
4,538776,50.00
5,129880,50.00
6,119963,50.00
7,237994,17.25
8,556083,50.00
9,048980,6.90
10,556694,50.00
11,238872,50.00
12,159682,50.00
13,689687,27.98
14,379131,5.75
15,519498,29.13
16,560629,50.00
17,649882,6.90
18,650153,50.00
19,670260,50.00
20,270043,50.00
21,757632,50.00
22,528833,14.95
23,797650,29.90
24,678278,50.00
25,609646,11.50
26,640501,10.35
27,730676,50.00
28,400301,4.60
29,640960,50.00
30,358361,50.00
31,550254,50.00
32,521201,50.00
33,529684,51.75
34,082001,50.00
35,310107,0.00
36,730303,50.00
37,680624,50.00
38,760926,50.00
39,760290,1.15
40,677738,25.30
41,544583,50.00
42,618495,9.78
43,529705,32.20
44,569734,50.00
45,319194,28.75
46,327737,50.00
47,609958,3.45
