id,postal,crowd
1,544965,21.47
2,467352,5.75
3,678295,0.00
4,538776,26.45
5,129880,17.25
6,119963,12.65
7,237994,2.30
8,556083,2.30
9,048980,2.30
10,556694,4.60
11,238872,0.00
12,159682,13.23
13,689687,23.38
14,379131,3.07
15,519498,10.73
16,560629,5.75
17,649882,27.60
18,650153,40.25
19,670260,0.00
20,270043,23.00
21,757632,0.00
22,528833,5.18
23,797650,27.60
24,678278,0.00
25,609646,13.80
26,640501,28.75
27,730676,5.75
28,400301,2.30
29,640960,41.40
30,358361,9.20
31,550254,9.20
32,521201,0.00
33,529684,50.00
34,082001,25.30
35,310107,0.00
36,730303,3.45
37,680624,12.08
38,760926,18.40
39,760290,17.25
40,677738,4.60
41,544583,27.60
42,618495,13.23
43,529705,5.75
44,569734,12.08
45,319194,0.00
46,327737,1.73
47,609958,3.45
