id,postal,crowd
1,544965,19.93
2,467352,50.00
3,678295,50.00
4,538776,24.92
5,129880,5.18
6,119963,50.00
7,237994,11.50
8,556083,50.00
9,048980,11.50
10,556694,3.45
11,238872,11.50
12,159682,27.03
13,689687,34.50
14,379131,7.67
15,519498,50.00
16,560629,14.95
17,649882,28.75
18,650153,50.00
19,670260,50.00
20,270043,0.00
21,757632,50.00
22,528833,50.00
23,797650,95.45
24,678278,50.00
25,609646,50.00
26,640501,13.80
27,730676,17.25
28,400301,6.90
29,640960,50.00
30,358361,0.00
31,550254,13.80
32,521201,50.00
33,529684,50.00
34,082001,50.00
35,310107,50.00
36,730303,50.00
37,680624,50.00
38,760926,50.00
39,760290,5.75
40,677738,50.00
41,544583,76.48
42,618495,12.65
43,529705,50.00
44,569734,7.48
45,319194,50.00
46,327737,5.75
47,609958,5.75
