id,postal,crowd
1,544965,6.90
2,467352,14.38
3,678295,5.75
4,538776,25.30
5,129880,37.38
6,119963,4.60
7,237994,0.00
8,556083,31.05
9,048980,4.60
10,556694,5.75
11,238872,4.60
12,159682,4.03
13,689687,9.20
14,379131,50.00
15,519498,50.00
16,560629,50.00
17,649882,50.00
18,650153,50.00
19,670260,50.00
20,270043,50.00
21,757632,50.00
22,528833,5.75
23,797650,50.00
24,678278,50.00
25,609646,50.00
26,640501,50.00
27,730676,50.00
28,400301,10.35
29,640960,2.30
30,358361,14.95
31,550254,35.65
32,521201,5.75
33,529684,3.45
34,082001,8.05
35,310107,50.00
36,730303,11.50
37,680624,1.15
38,760926,47.15
39,760290,36.80
40,677738,0.00
41,544583,1.15
42,618495,28.18
43,529705,10.93
44,569734,25.88
45,319194,4.03
46,327737,2.30
47,609958,24.73
