id,postal,crowd
1,544965,18.02
2,467352,6.90
3,678295,17.25
4,538776,16.10
5,129880,50.00
6,119963,13.80
7,237994,17.25
8,556083,50.00
9,048980,6.90
10,556694,50.00
11,238872,9.20
12,159682,10.93
13,689687,26.07
14,379131,1.92
15,519498,50.00
16,560629,12.65
17,649882,6.90
18,650153,19.55
19,670260,0.00
20,270043,50.00
21,757632,50.00
22,528833,6.90
23,797650,50.00
24,678278,50.00
25,609646,50.00
26,640501,9.20
27,730676,8.05
28,400301,2.30
29,640960,24.15
30,358361,1.15
31,550254,11.50
32,521201,20.70
33,529684,34.50
34,082001,32.20
35,310107,0.00
36,730303,1.15
37,680624,50.00
38,760926,3.45
39,760290,0.00
40,677738,3.45
41,544583,50.00
42,618495,10.35
43,529705,2.88
44,569734,1.15
45,319194,22.43
46,327737,3.45
47,609958,50.00
