id,postal,crowd
1,544965,7.67
2,467352,16.10
3,678295,24.15
4,538776,9.20
5,129880,2.30
6,119963,0.00
7,237994,9.20
8,556083,2.30
9,048980,5.75
10,556694,0.00
11,238872,8.05
12,159682,4.03
13,689687,9.58
14,379131,11.50
15,519498,15.33
16,560629,17.25
17,649882,5.75
18,650153,13.80
19,670260,48.30
20,270043,5.75
21,757632,2.30
22,528833,31.63
23,797650,11.50
24,678278,14.95
25,609646,2.30
26,640501,13.80
27,730676,26.45
28,400301,50.00
29,640960,3.45
30,358361,33.35
31,550254,4.60
32,521201,41.40
33,529684,49.45
34,082001,14.95
35,310107,26.45
36,730303,46.00
37,680624,23.58
38,760926,0.00
39,760290,1.15
40,677738,51.75
41,544583,15.53
42,618495,5.18
43,529705,33.35
44,569734,3.45
45,319194,50.00
46,327737,32.20
47,609958,6.33
