id,postal,crowd
1,544965,20.70
2,467352,10.93
3,678295,23.00
4,538776,34.50
5,129880,34.50
6,119963,12.65
7,237994,10.35
8,556083,27.60
9,048980,20.70
10,556694,8.05
11,238872,17.25
12,159682,30.48
13,689687,20.70
14,379131,15.33
15,519498,23.38
16,560629,34.50
17,649882,28.75
18,650153,32.20
19,670260,50.00
20,270043,29.90
21,757632,3.45
22,528833,5.18
23,797650,27.60
24,678278,8.05
25,609646,26.45
26,640501,23.00
27,730676,31.63
28,400301,21.85
29,640960,33.35
30,358361,46.00
31,550254,24.15
32,521201,34.50
33,529684,36.80
34,082001,36.80
35,310107,16.10
36,730303,25.30
37,680624,19.55
38,760926,57.50
39,760290,47.15
40,677738,29.90
41,544583,31.63
42,618495,20.70
43,529705,25.88
44,569734,28.18
45,319194,17.25
46,327737,36.23
47,609958,16.10
