id,postal,crowd
1,544965,19.93
2,467352,12.65
3,678295,14.38
4,538776,24.92
5,129880,5.18
6,119963,11.50
7,237994,11.50
8,556083,50.00
9,048980,11.50
10,556694,3.45
11,238872,11.50
12,159682,27.03
13,689687,34.50
14,379131,7.67
15,519498,26.83
16,560629,14.95
17,649882,28.75
18,650153,51.75
19,670260,0.00
20,270043,0.00
21,757632,50.00
22,528833,12.65
23,797650,95.45
24,678278,6.90
25,609646,14.95
26,640501,13.80
27,730676,17.25
28,400301,6.90
29,640960,36.80
30,358361,0.00
31,550254,13.80
32,521201,34.50
33,529684,40.25
34,082001,48.30
35,310107,0.00
36,730303,0.00
37,680624,18.98
38,760926,13.80
39,760290,5.75
40,677738,2.30
41,544583,76.48
42,618495,12.65
43,529705,7.48
44,569734,7.48
45,319194,50.00
46,327737,5.75
47,609958,5.75
