id,postal,crowd
1,544965,24.92
2,467352,5.18
3,678295,16.68
4,538776,24.92
5,129880,28.75
6,119963,14.95
7,237994,4.60
8,556083,20.70
9,048980,0.00
10,556694,5.75
11,238872,14.95
12,159682,10.35
13,689687,17.63
14,379131,21.08
15,519498,11.12
16,560629,14.95
17,649882,31.05
18,650153,23.00
19,670260,33.35
20,270043,21.85
21,757632,14.95
22,528833,5.75
23,797650,28.75
24,678278,14.95
25,609646,14.95
26,640501,23.00
27,730676,21.28
28,400301,1000.00
29,640960,25.30
30,358361,19.55
31,550254,24.15
32,521201,31.05
33,529684,27.60
34,082001,18.40
35,310107,3.45
36,730303,31.05
37,680624,18.40
38,760926,47.15
39,760290,39.10
40,677738,28.75
41,544583,18.40
42,618495,27.03
43,529705,25.88
44,569734,25.88
45,319194,23.00
46,327737,11.50
47,609958,18.40
