id,postal,crowd
1,544965,9.20
2,467352,5.18
3,678295,34.50
4,538776,9.97
5,129880,4.03
6,119963,14.95
7,237994,14.95
8,556083,0.00
9,048980,12.65
10,556694,2.30
11,238872,27.60
12,159682,0.58
13,689687,25.30
14,379131,5.75
15,519498,21.08
16,560629,8.05
17,649882,9.20
18,650153,17.25
19,670260,24.15
20,270043,4.60
21,757632,2.30
22,528833,11.50
23,797650,25.30
24,678278,23.00
25,609646,9.20
26,640501,9.20
27,730676,0.00
28,400301,9.20
29,640960,50.00
30,358361,0.00
31,550254,10.35
32,521201,51.75
33,529684,46.00
34,082001,29.90
35,310107,0.00
36,730303,28.75
37,680624,24.15
38,760926,4.60
39,760290,0.00
40,677738,32.20
41,544583,28.18
42,618495,6.33
43,529705,34.50
44,569734,8.05
45,319194,27.60
46,327737,32.20
47,609958,3.45
