id,postal,crowd
1,544965,5.37
2,467352,50.00
3,678295,50.00
4,538776,10.35
5,129880,2.88
6,119963,4.60
7,237994,3.45
8,556083,50.00
9,048980,1.15
10,556694,50.00
11,238872,50.00
12,159682,1.15
13,689687,50.00
14,379131,50.00
15,519498,50.00
16,560629,5.75
17,649882,50.00
18,650153,50.00
19,670260,50.00
20,270043,50.00
21,757632,50.00
22,528833,50.00
23,797650,50.00
24,678278,50.00
25,609646,5.75
26,640501,10.35
27,730676,21.85
28,400301,50.00
29,640960,50.00
30,358361,17.25
31,550254,50.00
32,521201,9.20
33,529684,28.75
34,082001,18.40
35,310107,50.00
36,730303,13.80
37,680624,10.93
38,760926,33.35
39,760290,36.80
40,677738,3.45
41,544583,8.63
42,618495,8.63
43,529705,23.00
44,569734,6.90
45,319194,14.38
46,327737,4.03
47,609958,1.73
