id,postal,crowd
1,544965,27.60
2,467352,17.83
3,678295,28.75
4,538776,51.75
5,129880,31.63
6,119963,50.00
7,237994,12.65
8,556083,50.00
9,048980,14.95
10,556694,11.50
11,238872,50.00
12,159682,50.00
13,689687,39.87
14,379131,50.00
15,519498,21.08
16,560629,50.00
17,649882,50.00
18,650153,34.50
19,670260,11.50
20,270043,50.00
21,757632,14.95
22,528833,10.93
23,797650,50.00
24,678278,21.85
25,609646,50.00
26,640501,50.00
27,730676,50.00
28,400301,18.40
29,640960,50.00
30,358361,50.00
31,550254,50.00
32,521201,34.50
33,529684,50.00
34,082001,29.90
35,310107,50.00
36,730303,34.50
37,680624,13.80
38,760926,50.00
39,760290,44.85
40,677738,40.25
41,544583,28.75
42,618495,23.00
43,529705,25.30
44,569734,24.73
45,319194,24.73
46,327737,36.23
47,609958,19.55
