id,postal,crowd
1,544965,17.63
2,467352,28.18
3,678295,6.90
4,538776,10.35
5,129880,34.50
6,119963,23.00
7,237994,17.25
8,556083,20.70
9,048980,21.85
10,556694,19.55
11,238872,2.30
12,159682,6.33
13,689687,12.27
14,379131,13.03
15,519498,16.10
16,560629,41.40
17,649882,16.10
18,650153,17.25
19,670260,17.25
20,270043,18.40
21,757632,17.25
22,528833,18.40
23,797650,24.15
24,678278,10.35
25,609646,13.80
26,640501,32.20
27,730676,26.45
28,400301,23.00
29,640960,23.00
30,358361,29.90
31,550254,33.35
32,521201,10.35
33,529684,29.90
34,082001,14.95
35,310107,13.80
36,730303,23.00
37,680624,12.08
38,760926,26.45
39,760290,36.80
40,677738,23.00
41,544583,11.50
42,618495,16.68
43,529705,24.73
44,569734,14.38
45,319194,16.10
46,327737,14.95
47,609958,13.80
