id,postal,crowd
1,544965,30.28
2,467352,12.65
3,678295,20.13
4,538776,17.63
5,129880,37.38
6,119963,14.95
7,237994,2.30
8,556083,25.30
9,048980,1.15
10,556694,9.20
11,238872,14.95
12,159682,9.20
13,689687,5.37
14,379131,16.87
15,519498,18.40
16,560629,24.15
17,649882,17.25
18,650153,34.50
19,670260,26.45
20,270043,33.35
21,757632,13.80
22,528833,8.05
23,797650,32.20
24,678278,14.95
25,609646,20.70
26,640501,17.25
27,730676,22.43
28,400301,17.25
29,640960,18.40
30,358361,18.40
31,550254,19.55
32,521201,26.45
33,529684,42.55
34,082001,25.30
35,310107,13.80
36,730303,40.25
37,680624,14.95
38,760926,41.40
39,760290,48.30
40,677738,25.30
41,544583,25.88
42,618495,17.83
43,529705,20.13
44,569734,23.00
45,319194,3.45
46,327737,9.20
47,609958,12.65
