id,postal,crowd
1,544965,23.38
2,467352,24.73
3,678295,28.75
4,538776,44.08
5,129880,29.33
6,119963,14.95
7,237994,17.25
8,556083,29.90
9,048980,18.40
10,556694,9.20
11,238872,6.90
12,159682,41.98
13,689687,34.88
14,379131,20.32
15,519498,27.60
16,560629,48.30
17,649882,23.00
18,650153,28.75
19,670260,23.00
20,270043,23.00
21,757632,8.05
22,528833,15.53
23,797650,24.15
24,678278,16.10
25,609646,28.75
26,640501,20.70
27,730676,35.65
28,400301,27.60
29,640960,44.85
30,358361,28.75
31,550254,34.50
32,521201,57.50
33,529684,51.75
34,082001,35.65
35,310107,12.65
36,730303,46.00
37,680624,24.73
38,760926,48.30
39,760290,42.55
40,677738,36.80
41,544583,39.10
42,618495,29.90
43,529705,23.58
44,569734,29.33
45,319194,28.75
46,327737,40.25
47,609958,19.55
