id,postal,crowd
1,544965,8.05
2,467352,41.98
3,678295,1.15
4,538776,25.30
5,129880,13.80
6,119963,2.30
7,237994,0.00
8,556083,34.50
9,048980,2.30
10,556694,14.95
11,238872,12.65
12,159682,3.45
13,689687,13.80
14,379131,15.33
15,519498,7.67
16,560629,29.90
17,649882,6.90
18,650153,21.85
19,670260,11.50
20,270043,5.75
21,757632,21.85
22,528833,23.00
23,797650,11.50
24,678278,10.35
25,609646,17.25
26,640501,50.00
27,730676,47.73
28,400301,25.30
29,640960,18.40
30,358361,41.40
31,550254,55.20
32,521201,5.75
33,529684,18.40
34,082001,16.10
35,310107,2.30
36,730303,9.20
37,680624,23.00
38,760926,87.40
39,760290,48.30
40,677738,6.90
41,544583,25.88
42,618495,2.30
43,529705,29.90
44,569734,32.78
45,319194,17.25
46,327737,9.20
47,609958,50.00
