id,postal,crowd
1,544965,7.67
2,467352,27.60
3,678295,3.45
4,538776,18.02
5,129880,4.60
6,119963,8.05
7,237994,0.00
8,556083,17.25
9,048980,4.60
10,556694,1.15
11,238872,4.60
12,159682,5.18
13,689687,5.37
14,379131,12.27
15,519498,1.92
16,560629,10.35
17,649882,1.15
18,650153,13.80
19,670260,11.50
20,270043,11.50
21,757632,9.20
22,528833,22.43
23,797650,0.00
24,678278,6.90
25,609646,5.75
26,640501,11.50
27,730676,25.88
28,400301,24.15
29,640960,8.05
30,358361,29.90
31,550254,17.25
32,521201,5.75
33,529684,25.30
34,082001,24.15
35,310107,10.35
36,730303,23.00
37,680624,8.63
38,760926,46.00
39,760290,39.10
40,677738,3.45
41,544583,9.20
42,618495,2.30
43,529705,20.13
44,569734,2.88
45,319194,13.23
46,327737,7.48
47,609958,0.00
