id,postal,crowd
1,544965,13.80
2,467352,48.88
3,678295,8.63
4,538776,47.92
5,129880,10.93
6,119963,14.95
7,237994,2.30
8,556083,25.30
9,048980,19.55
10,556694,4.60
11,238872,18.40
12,159682,35.08
13,689687,22.62
14,379131,13.03
15,519498,13.42
16,560629,26.45
17,649882,17.25
18,650153,51.75
19,670260,4.60
20,270043,23.00
21,757632,29.90
22,528833,27.03
23,797650,23.00
24,678278,17.25
25,609646,13.80
26,640501,10.35
27,730676,34.50
28,400301,16.10
29,640960,24.15
30,358361,31.05
31,550254,31.05
32,521201,23.00
33,529684,46.00
34,082001,21.85
35,310107,6.90
36,730303,40.25
37,680624,24.15
38,760926,64.40
39,760290,50.60
40,677738,41.40
41,544583,32.78
42,618495,27.03
43,529705,24.73
44,569734,21.28
45,319194,28.75
46,327737,18.98
47,609958,9.20
