id,postal,crowd
1,544965,24.53
2,467352,33.93
3,678295,35.08
4,538776,38.72
5,129880,46.00
6,119963,27.60
7,237994,11.50
8,556083,24.15
9,048980,16.10
10,556694,5.75
11,238872,11.50
12,159682,29.33
13,689687,34.12
14,379131,21.47
15,519498,21.08
16,560629,41.40
17,649882,28.75
18,650153,34.50
19,670260,27.60
20,270043,35.65
21,757632,24.15
22,528833,14.38
23,797650,28.75
24,678278,19.55
25,609646,26.45
26,640501,48.30
27,730676,30.48
28,400301,33.35
29,640960,36.80
30,358361,39.10
31,550254,34.50
32,521201,34.50
33,529684,13.80
34,082001,40.25
35,310107,9.20
36,730303,34.50
37,680624,26.45
38,760926,56.35
39,760290,49.45
40,677738,40.25
41,544583,47.15
42,618495,28.75
43,529705,18.40
44,569734,28.18
45,319194,28.75
46,327737,44.85
47,609958,23.58
