id,postal,crowd
1,544965,9.58
2,467352,1.73
3,678295,25.88
4,538776,13.42
5,129880,2.30
6,119963,4.60
7,237994,9.20
8,556083,0.00
9,048980,0.00
10,556694,1.15
11,238872,4.60
12,159682,1.15
13,689687,8.82
14,379131,1.15
15,519498,26.07
16,560629,12.65
17,649882,50.00
18,650153,26.45
19,670260,26.45
20,270043,0.00
21,757632,0.00
22,528833,9.20
23,797650,20.70
24,678278,12.65
25,609646,3.45
26,640501,6.90
27,730676,14.38
28,400301,1.15
29,640960,50.00
30,358361,0.00
31,550254,6.90
32,521201,42.55
33,529684,51.75
34,082001,12.65
35,310107,0.00
36,730303,9.20
37,680624,23.58
38,760926,4.60
39,760290,1.15
40,677738,28.75
41,544583,33.35
42,618495,2.88
43,529705,29.33
44,569734,5.18
45,319194,35.65
46,327737,21.28
47,609958,0.58
