id,postal,crowd
1,544965,25.30
2,467352,28.18
3,678295,33.35
4,538776,41.78
5,129880,39.10
6,119963,20.70
7,237994,14.95
8,556083,24.15
9,048980,17.25
10,556694,23.00
11,238872,19.55
12,159682,32.20
13,689687,31.43
14,379131,23.77
15,519498,23.00
16,560629,43.70
17,649882,40.25
18,650153,40.25
19,670260,26.45
20,270043,37.95
21,757632,40.25
22,528833,17.25
23,797650,36.80
24,678278,20.70
25,609646,34.50
26,640501,66.70
27,730676,35.08
28,400301,40.25
29,640960,46.00
30,358361,37.95
31,550254,59.80
32,521201,34.50
33,529684,36.80
34,082001,40.25
35,310107,11.50
36,730303,43.70
37,680624,20.13
38,760926,74.75
39,760290,56.35
40,677738,36.80
41,544583,39.10
42,618495,37.38
43,529705,15.53
44,569734,35.65
45,319194,23.00
46,327737,34.50
47,609958,23.58
