id,postal,crowd
1,544965,0.38
2,467352,8.63
3,678295,0.58
4,538776,31.43
5,129880,43.13
6,119963,1.15
7,237994,0.00
8,556083,37.95
9,048980,0.00
10,556694,2.30
11,238872,2.30
12,159682,10.35
13,689687,6.13
14,379131,9.97
15,519498,0.38
16,560629,43.70
17,649882,0.00
18,650153,0.00
19,670260,0.00
20,270043,18.40
21,757632,4.60
22,528833,13.80
23,797650,0.00
24,678278,0.00
25,609646,26.45
26,640501,17.25
27,730676,18.98
28,400301,18.40
29,640960,5.75
30,358361,12.65
31,550254,21.85
32,521201,11.50
33,529684,17.25
34,082001,12.65
35,310107,2.30
36,730303,6.90
37,680624,2.30
38,760926,46.00
39,760290,17.25
40,677738,2.30
41,544583,1.15
42,618495,21.28
43,529705,8.63
44,569734,43.13
45,319194,7.48
46,327737,4.60
47,609958,18.98
