id,postal,crowd
1,544965,6.52
2,467352,2.30
3,678295,2.30
4,538776,43.70
5,129880,29.33
6,119963,1.15
7,237994,0.00
8,556083,19.55
9,048980,0.00
10,556694,6.90
11,238872,1.15
12,159682,21.28
13,689687,4.22
14,379131,6.52
15,519498,2.68
16,560629,34.50
17,649882,25.30
18,650153,11.50
19,670260,2.30
20,270043,29.90
21,757632,3.45
22,528833,6.33
23,797650,21.85
24,678278,50.00
25,609646,19.55
26,640501,40.25
27,730676,12.65
28,400301,11.50
29,640960,28.75
30,358361,8.05
31,550254,17.25
32,521201,19.55
33,529684,2.30
34,082001,9.20
35,310107,2.30
36,730303,11.50
37,680624,0.00
38,760926,16.10
39,760290,18.40
40,677738,2.30
41,544583,2.30
42,618495,28.18
43,529705,2.30
44,569734,35.08
45,319194,4.60
46,327737,1.15
47,609958,19.55
