id,postal,crowd
1,544965,5.37
2,467352,20.13
3,678295,4.03
4,538776,10.35
5,129880,2.88
6,119963,4.60
7,237994,3.45
8,556083,8.05
9,048980,1.15
10,556694,0.00
11,238872,1.15
12,159682,1.15
13,689687,3.83
14,379131,21.08
15,519498,1.53
16,560629,5.75
17,649882,6.90
18,650153,11.50
19,670260,11.50
20,270043,5.75
21,757632,10.35
22,528833,23.58
23,797650,11.50
24,678278,13.80
25,609646,5.75
26,640501,10.35
27,730676,21.85
28,400301,0.00
29,640960,9.20
30,358361,17.25
31,550254,20.70
32,521201,9.20
33,529684,28.75
34,082001,18.40
35,310107,0.00
36,730303,13.80
37,680624,10.93
38,760926,33.35
39,760290,36.80
40,677738,3.45
41,544583,8.63
42,618495,8.63
43,529705,23.00
44,569734,6.90
45,319194,14.38
46,327737,4.03
47,609958,1.73
