id,postal,crowd
1,544965,11.88
2,467352,12.08
3,678295,0.58
4,538776,27.60
5,129880,37.38
6,119963,3.45
7,237994,0.00
8,556083,19.55
9,048980,0.00
10,556694,1.15
11,238872,1.15
12,159682,28.75
13,689687,6.13
14,379131,1.92
15,519498,3.83
16,560629,20.70
17,649882,29.90
18,650153,29.90
19,670260,2.30
20,270043,54.05
21,757632,4.60
22,528833,6.33
23,797650,24.15
24,678278,0.00
25,609646,34.50
26,640501,51.75
27,730676,10.35
28,400301,11.50
29,640960,27.60
30,358361,9.20
31,550254,13.80
32,521201,0.00
33,529684,16.10
34,082001,10.35
35,310107,0.00
36,730303,9.20
37,680624,0.00
38,760926,23.00
39,760290,28.75
40,677738,3.45
41,544583,4.60
42,618495,37.38
43,529705,5.75
44,569734,41.98
45,319194,5.75
46,327737,0.58
47,609958,28.75
